model	cov	P	t	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	theta	gen	var.prs.geno	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
CGF	neg	0	0	0.916115870369756	0.00384739486654842	0.00384743334088183	-0.0074775045311809	0.916333194046005	0.1	10	0.912384373714394	0.000217381686313142	0.0104807417937856	0.0103708958452375	-0.00746386055400392	0.916116212357939	0.00384041304521046	0.00384041304521046	0.916333177894356	0.000216965536416989
CGF	neg	0	1	0.915931403744639	0.00757332016843328	0.00567830680872346	-0.0110358156021836	0.918147215119612	0.1	10	0.91503196746057	0.00223081855924352	0.0208516376390231	0.0152857462649373	-0.0110010437177199	0.915932045473694	0.00756049681170966	0.0056604154778586	0.918151914045542	0.00221986857184833
CGF	neg	0	2	0.915749768729343	0.0111639657087868	0.00649316607485614	-0.0126194983628537	0.920787402150132	0.1	10	0.922139242835994	0.00504476644982748	0.0311138388027364	0.0175056748435489	-0.0125987106500529	0.915749808795007	0.0111631822158284	0.00648247008142987	0.920796750442212	0.00504694164720543
CGF	neg	0	3	0.915568948542159	0.0146615420503995	0.00682798372576277	-0.0132702180192987	0.923788256299023	0.1	10	0.924247062468147	0.00805537197591524	0.0412684844858171	0.0183966800380433	-0.0132399608008442	0.915569482091895	0.0146513346381515	0.00681241534588433	0.923793271275087	0.00822378918319165
CGF	neg	0	4	0.915391088355496	0.0180269505181338	0.00691832241350535	-0.0134457916776538	0.926890569609482	0.1	10	0.928561229555292	0.0118657209002894	0.0513167019494859	0.018634510675313	-0.013411125832153	0.915391045346398	0.0180277553363837	0.00690048564333511	0.926908160493964	0.0115171151475658
CGF	neg	0	5	0.91521493001153	0.0212869254047895	0.00687831740250019	-0.0133680417533387	0.930012131065481	0.1	10	0.925319200374536	0.0148073341833026	0.0612596066404303	0.0185534098509495	-0.0133527581411747	0.915214478750355	0.0212951828282709	0.0068704534582172	0.930027356895669	0.0148128781453135
CGF	neg	0	6	0.91503947026924	0.0244615251118432	0.00678396219983043	-0.0131846619796057	0.933100295601308	0.1	10	0.933598489332287	0.0182011470098889	0.0710983023146287	0.0183186592912263	-0.0131838098199403	0.915039762703215	0.0244562942452032	0.0067835237343645	0.933095770862843	0.0180560081596274
CGF	neg	0	7	0.914866294833678	0.0275238976468117	0.00667308634050112	-0.0129691742330803	0.936094104587911	0.1	10	0.937345778410335	0.0212091685983247	0.080833881159878	0.0180119472984432	-0.0129630713631536	0.914866877809854	0.0275137066571179	0.00666994620395785	0.936087459307776	0.0212205814979221
CGF	neg	0	8	0.914694982217534	0.0304840285247409	0.00656778770744589	-0.0127645258516694	0.938982272598051	0.1	10	0.94048018987678	0.0242415702815404	0.0904674239170373	0.017673605325527	-0.012719569032873	0.914695804878418	0.0304699783693063	0.00654465587745954	0.938990870092311	0.0242950652138929
CGF	neg	0	9	0.914525823475242	0.0333393113081877	0.00643126164183211	-0.0124991868103392	0.941797209614923	0.1	10	0.940771632778535	0.0273081958206791	0.0999999999999995	0.0173235048904384	-0.0124676042203445	0.914526524918207	0.0333276101917136	0.00641501131269752	0.941801542202274	0.0272750172840666
CGF	neg	0	10	0.914358862202816	0.0360916029497957	0.00630794836618689	-0.0122595268875553	0.944498886631243	0.1	10	0.944742436430597	0.0302523284218117	0.109432667614407	0.0169713964890016	-0.0122141942886052	0.914359019137549	0.0360890466813108	0.00628462318438294	0.944518494714637	0.0301594755770886
CGF	neg	0.3	0	0.916115870369756	0.00384739486654842	0.00384743334088183	-0.0074775045311809	0.916333194046005	0.1	10	0.912384373714394	0.000217381686313142	0.0104807417937856	0.0103708958452375	-0.00746386055400392	0.916116212357939	0.00384041304521046	0.00384041304521046	0.916333177894356	0.000216965536416989
CGF	neg	0.3	1	0.915931380481594	0.00757378500428156	0.00625251165727422	-0.0121517853868298	0.91760589175632	0.1	10	0.916727433799332	0.00172827410272706	0.0208516376390231	0.0168250764394943	-0.0121088887815328	0.915932045473694	0.00756049681170966	0.00623043987801392	0.917614093381885	0.00168204790819076
CGF	neg	0.3	2	0.915749890815935	0.0111615782665601	0.00770483889347882	-0.0149743901020523	0.919641917873922	0.1	10	0.918055598803607	0.00384434803739498	0.0311138388027364	0.0207645838434307	-0.0149441244596492	0.915749808795007	0.0111631822158284	0.00768926617918904	0.919658132730375	0.00390832393536824
CGF	neg	0.3	3	0.91556961659999	0.014648761240032	0.00857740436005539	-0.0166702251307581	0.92212555706932	0.1	10	0.922171143598603	0.006564995344825	0.0412684844858171	0.0230910999863624	-0.0166185017098514	0.915569482091895	0.0146513346381515	0.00855079088048192	0.922153105900677	0.00658362380878203
CGF	neg	0.3	4	0.915389848222093	0.0180501550732074	0.00904423032038876	-0.0175775035484436	0.924906730067245	0.1	10	0.92787455542318	0.009454192823326	0.0513167019494859	0.0243844833672482	-0.0175493406018677	0.915391045346398	0.0180277553363837	0.00902973951544416	0.924899199596358	0.00950815424996015
CGF	neg	0.3	5	0.915214649167973	0.0212920644898044	0.00926733085376277	-0.0180111004691457	0.927762944042394	0.1	10	0.936924962760532	0.0125073817299851	0.0612596066404303	0.0250176015913596	-0.018004991319943	0.915214478750355	0.0212951828282709	0.00926418748631589	0.927768857744999	0.0125543789946439
CGF	neg	0.3	6	0.915039118659855	0.0244678142033636	0.00936908812734001	-0.0182088662019966	0.930667154788562	0.1	10	0.928817190156109	0.0156220634175508	0.0710983023146287	0.02523019018448	-0.0181579898302068	0.915039762703215	0.0244562942452032	0.00934291048367949	0.930680977601891	0.0156412148986759
