t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
 4	0.9	pos	CGF	 8.057554e-02	 7.072502e-02	 9.301745e-02	 0.032165170	 0.010114200	 0.055328330	 0.15419440	 0.13678401	 0.17193545	 0.063145479	 0.015902538	 0.114392477	NA	NA	NA	NA	NA	NA
 4	0.9	pos	HI	 1.150756e-01	 9.722527e-02	 1.375968e-01	 0.090132458	 0.065587310	 0.117509822	 0.21085193	 0.17965881	 0.24707798	 0.159603336	 0.119761150	 0.202122547	0.96088891	0.95017958	0.97690584	NA	NA	NA
 5	0.0	neg	CGF	 5.460434e-02	 4.897855e-02	 5.976799e-02	 0.055797826	 0.049489080	 0.061832685	 0.07187303	 0.06470533	 0.08045204	 0.073287779	 0.067654823	 0.082484727	0.05606900	0.05606900	0.05606900	5.360100e-02	5.360100e-02	5.360100e-02
 5	0.0	neg	HI	 8.864661e-02	 8.206250e-02	 9.532208e-02	 0.089801544	 0.084087533	 0.095683985	 0.09190853	 0.08489140	 0.09740148	 0.091834325	 0.086650155	 0.097120468	0.08688989	0.08210706	0.09276252	8.674381e-02	8.016703e-02	9.175929e-02
 5	0.0	pos	CGF	 5.839917e-02	 5.261821e-02	 6.452532e-02	 0.056452652	 0.051293394	 0.063106756	 0.07704405	 0.06960855	 0.08584938	 0.072162384	 0.063164875	 0.079412433	0.25440412	0.24744845	0.26096088	NA	NA	NA
 5	0.0	pos	HI	 9.640184e-02	 9.278159e-02	 1.007694e-01	 0.094078552	 0.090579820	 0.098650445	 0.09964772	 0.09557832	 0.10531541	 0.096869875	 0.093556372	 0.102010515	0.12663862	0.12250232	0.13125202	9.062609e-02	8.752461e-02	9.540677e-02
 5	0.9	neg	CGF	 6.800373e-02	 3.484169e-02	 1.030237e-01	 0.078005860	 0.046156779	 0.112323236	 0.12993809	 0.04442833	 0.19056926	 0.152156137	 0.076918214	 0.203951900	NA	NA	NA	NA	NA	NA
 5	0.9	neg	HI	 9.102647e-02	 7.154859e-02	 1.068970e-01	 0.095943330	 0.083259585	 0.112078807	 0.16063449	 0.13078131	 0.18756734	 0.168837322	 0.138815945	 0.196355450	NA	NA	NA	NA	NA	NA
 5	0.9	pos	CGF	 8.670570e-02	 7.726183e-02	 9.666787e-02	 0.045746980	 0.021685957	 0.067329935	 0.16248825	 0.14260894	 0.17997810	 0.086960332	 0.048989110	 0.124795450	0.63104267	0.61908799	0.64307881	NA	NA	NA
 5	0.9	pos	HI	 1.188586e-01	 1.025895e-01	 1.332514e-01	 0.102272493	 0.082899675	 0.118323662	 0.21428432	 0.18538750	 0.23858028	 0.179400490	 0.143419090	 0.218103870	0.92098697	0.90736699	0.93254337	NA	NA	NA
