t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
13	0.0	pos	HI	 9.967614e-02	 9.611698e-02	 1.033561e-01	 0.098869688	 0.095397290	 0.101796260	 0.09968314	 0.09588858	 0.10394325	 0.099035489	 0.095647287	 0.102311443	0.09951936	0.09492155	0.10349022	9.848670e-02	9.440347e-02	1.024694e-01
13	0.9	neg	CGF	 8.594868e-02	 7.315094e-02	 9.679854e-02	 0.088176677	 0.078047823	 0.099712593	 0.14926117	 0.12739894	 0.17030983	 0.152864010	 0.134564110	 0.169903572	NA	NA	NA	NA	NA	NA
13	0.9	neg	HI	 9.466016e-02	 8.531948e-02	 1.032732e-01	 0.096622642	 0.086673692	 0.104649950	 0.14238711	 0.12691154	 0.15532185	 0.145365486	 0.131888722	 0.157459503	0.05126112	0.04842765	0.05450224	4.934382e-02	4.645642e-02	5.223149e-02
13	0.9	pos	CGF	 1.094375e-01	 9.739147e-02	 1.192918e-01	 0.095850041	 0.082380768	 0.107294155	 0.18464373	 0.16875104	 0.20279924	 0.164395729	 0.140844125	 0.185832940	0.80295769	0.78912942	0.82044221	NA	NA	NA
13	0.9	pos	HI	 1.047033e-01	 9.560731e-02	 1.128144e-01	 0.097419718	 0.089611602	 0.108061620	 0.15764717	 0.14442711	 0.17275975	 0.149331059	 0.135283413	 0.161080580	0.64988862	0.63803448	0.66158406	NA	NA	NA
14	0.0	neg	CGF	 9.176823e-02	 8.502230e-02	 9.741838e-02	 0.093151699	 0.087070317	 0.098393353	 0.10148885	 0.09502423	 0.10745498	 0.102589475	 0.096666240	 0.109054983	0.08313891	0.07812861	0.08837149	8.293505e-02	7.843954e-02	8.714048e-02
14	0.0	neg	HI	 8.968059e-02	 8.308552e-02	 9.519472e-02	 0.089764147	 0.081508925	 0.096688105	 0.09009678	 0.08182724	 0.09625355	 0.090940384	 0.084063395	 0.096963925	0.09016218	0.08256478	0.09611623	9.000720e-02	8.340368e-02	9.474829e-02
14	0.0	pos	CGF	 8.869171e-02	 8.290312e-02	 9.296901e-02	 0.085505452	 0.079930183	 0.090123242	 0.09794431	 0.09368069	 0.10193473	 0.094160228	 0.088190492	 0.099756444	0.19531331	0.19004268	0.19944974	7.630655e-02	7.177256e-02	8.065133e-02
14	0.0	pos	HI	 9.631251e-02	 9.019472e-02	 1.015561e-01	 0.096055623	 0.090908507	 0.099901587	 0.09604879	 0.09033622	 0.10178877	 0.095004108	 0.091546688	 0.099758870	0.09561141	0.09059907	0.10054334	9.559474e-02	9.115210e-02	1.004828e-01
14	0.9	neg	CGF	 9.256910e-02	 7.933190e-02	 1.040483e-01	 0.092932446	 0.080816586	 0.108913182	 0.15729588	 0.14199266	 0.17494811	 0.161953113	 0.138738025	 0.187880710	NA	NA	NA	NA	NA	NA
14	0.9	neg	HI	 9.734811e-02	 8.925123e-02	 1.045793e-01	 0.099197841	 0.091195562	 0.106210475	 0.14547072	 0.13217526	 0.15657710	 0.146480902	 0.134018422	 0.159247575	0.05515438	0.05239460	0.05773768	5.314308e-02	5.063391e-02	5.553010e-02
14	0.9	pos	CGF	 9.662530e-02	 9.158732e-02	 1.013810e-01	 0.082315411	 0.077164477	 0.087753455	 0.16404905	 0.15587160	 0.17242410	 0.140766298	 0.129916335	 0.152311090	0.78960331	0.77864567	0.79993353	NA	NA	NA
14	0.9	pos	HI	 1.018336e-01	 9.424449e-02	 1.108455e-01	 0.095741786	 0.086170490	 0.106164173	 0.15282740	 0.14072144	 0.16594458	 0.142545763	 0.128240835	 0.155675702	0.61572509	0.60559500	0.62688130	NA	NA	NA
15	0.0	neg	CGF	 8.898077e-02	 8.413474e-02	 9.423229e-02	 0.089751782	 0.084439345	 0.095289400	 0.09741112	 0.09200975	 0.10291786	 0.097846117	 0.093632163	 0.104441057	0.08065986	0.07652331	0.08445383	8.019162e-02	7.641740e-02	8.562606e-02
15	0.0	neg	HI	 9.091506e-02	 8.649030e-02	 9.514303e-02	 0.090938648	 0.086374585	 0.094707702	 0.09082268	 0.08665935	 0.09438975	 0.090928077	 0.086519415	 0.094173697	0.09172892	0.08738372	0.09544196	9.114012e-02	8.724461e-02	9.480119e-02
15	0.0	pos	CGF	 9.853453e-02	 9.487894e-02	 1.032925e-01	 0.095940259	 0.091779710	 0.101002425	 0.10860498	 0.10436987	 0.11369322	 0.104958556	 0.100493175	 0.110684095	0.19205718	0.18747128	0.19657200	8.618807e-02	8.264974e-02	9.124807e-02
15	0.0	pos	HI	 9.865846e-02	 9.564450e-02	 1.034191e-01	 0.097561881	 0.094538258	 0.101208827	 0.09851844	 0.09468421	 0.10402940	 0.097882018	 0.094374242	 0.102759318	0.09788241	0.09429170	0.10322708	9.757862e-02	9.376457e-02	1.015006e-01
15	0.9	neg	CGF	 8.404573e-02	 7.514333e-02	 9.265667e-02	 0.086410164	 0.076377939	 0.095906622	 0.14110499	 0.12848296	 0.15732932	 0.145629233	 0.129433400	 0.160278294	NA	NA	NA	NA	NA	NA
15	0.9	neg	HI	 9.072988e-02	 8.523532e-02	 9.605854e-02	 0.092303554	 0.086376440	 0.097140410	 0.13330763	 0.12498512	 0.14053892	 0.133867015	 0.126931410	 0.140802315	0.05234842	0.04900935	0.05533079	5.162673e-02	4.942967e-02	5.443241e-02
15	0.9	pos	CGF	 1.112069e-01	 1.025863e-01	 1.200774e-01	 0.099595707	 0.089655472	 0.110429195	 0.18626302	 0.17216109	 0.20709304	 0.167060425	 0.148669690	 0.188120700	0.80232667	0.78901629	0.82081872	NA	NA	NA
15	0.9	pos	HI	 9.679375e-02	 8.983573e-02	 1.071081e-01	 0.090982718	 0.082164017	 0.100515430	 0.14305488	 0.13047590	 0.15602779	 0.134603346	 0.122148758	 0.148208255	0.58470232	0.57596408	0.59443697	NA	NA	NA
16	0.0	neg	CGF	 8.763875e-02	 8.316631e-02	 9.225830e-02	 0.088527922	 0.084256247	 0.093409697	 0.09605299	 0.09168505	 0.10044314	 0.096881838	 0.091898960	 0.101993593	0.08093932	0.07647675	0.08518650	8.048786e-02	7.679103e-02	8.467152e-02
16	0.0	neg	HI	 8.914655e-02	 8.550327e-02	 9.328799e-02	 0.089177376	 0.084418985	 0.094752460	 0.08922736	 0.08514149	 0.09447149	 0.089271322	 0.085463675	 0.094216755	0.08950149	0.08494242	0.09386786	8.900330e-02	8.461269e-02	9.385720e-02
16	0.0	pos	CGF	 9.262051e-02	 8.881372e-02	 9.622262e-02	 0.089483304	 0.085546425	 0.095177897	 0.10104977	 0.09656101	 0.10573682	 0.097370920	 0.092456820	 0.103258638	0.18480798	0.17920576	0.19001002	8.107114e-02	7.682141e-02	8.620860e-02
16	0.0	pos	HI	 9.646308e-02	 9.138039e-02	 1.016926e-01	 0.095311552	 0.088505410	 0.101779608	 0.09664799	 0.09061722	 0.10268093	 0.095513295	 0.090057943	 0.102341190	0.09625678	0.09126023	0.10314173	9.516466e-02	9.056763e-02	1.005247e-01
16	0.9	neg	CGF	 8.775822e-02	 7.420485e-02	 9.906564e-02	 0.089746300	 0.077063975	 0.099674556	 0.14559939	 0.12504920	 0.16642921	 0.150204913	 0.128415950	 0.170954614	NA	NA	NA	NA	NA	NA
16	0.9	neg	HI	 1.046728e-01	 9.451804e-02	 1.117834e-01	 0.105982449	 0.097843272	 0.115068970	 0.15284794	 0.13526095	 0.16348548	 0.151073608	 0.136988115	 0.161767437	0.06394777	0.06057831	0.06958587	6.125579e-02	5.814854e-02	6.478107e-02
16	0.9	pos	CGF	 1.148432e-01	 1.080266e-01	 1.230542e-01	 0.105264254	 0.095544468	 0.114044815	 0.19108083	 0.17972331	 0.20409313	 0.174286341	 0.163029945	 0.186631528	0.78817741	0.77875090	0.79715028	NA	NA	NA
16	0.9	pos	HI	 9.489204e-02	 9.026454e-02	 1.003533e-01	 0.088938556	 0.084528015	 0.094174270	 0.13726278	 0.13100305	 0.14395910	 0.128533005	 0.119780660	 0.137761775	0.56965993	0.56212073	0.57827585	NA	NA	NA
17	0.0	neg	CGF	 8.910674e-02	 8.488675e-02	 9.265471e-02	 0.089820537	 0.086095370	 0.094740665	 0.09704973	 0.09246347	 0.10213729	 0.097377115	 0.093067555	 0.102560482	0.08324942	0.08005181	0.08679866	8.242355e-02	7.864529e-02	8.606220e-02
17	0.0	neg	HI	 8.816556e-02	 8.402557e-02	 9.173059e-02	 0.087864041	 0.084370730	 0.091097792	 0.08803407	 0.08394929	 0.09130775	 0.088486426	 0.083538147	 0.092453152	0.08820433	0.08473722	0.09143125	8.851797e-02	8.403549e-02	9.191283e-02
17	0.0	pos	CGF	 9.027316e-02	 8.569072e-02	 9.519720e-02	 0.087697661	 0.083692240	 0.093354632	 0.09853750	 0.09252134	 0.10472259	 0.094872921	 0.090237943	 0.100684512	0.17960423	0.17397689	0.18579234	8.036454e-02	7.615538e-02	8.534154e-02
17	0.0	pos	HI	 9.752734e-02	 9.372521e-02	 1.013582e-01	 0.096925197	 0.092111317	 0.100627292	 0.09735077	 0.09284209	 0.10231026	 0.096558152	 0.092789750	 0.101231662	0.09728189	0.09378178	0.10116062	9.701232e-02	9.227356e-02	1.017470e-01
17	0.9	neg	CGF	 8.041202e-02	 7.056440e-02	 9.138030e-02	 0.078459097	 0.068801414	 0.087679383	 0.13457409	 0.11542518	 0.15451007	 0.130240764	 0.114682284	 0.150241461	NA	NA	NA	NA	NA	NA
17	0.9	neg	HI	 9.240546e-02	 8.538234e-02	 1.002917e-01	 0.093430244	 0.085890068	 0.100715425	 0.13180677	 0.11950304	 0.14171149	 0.132483199	 0.120594533	 0.144138305	0.05856000	0.05470475	0.06195785	5.586489e-02	5.288848e-02	5.921087e-02
17	0.9	pos	CGF	 1.054699e-01	 9.501371e-02	 1.171038e-01	 0.094494192	 0.081360325	 0.110120800	 0.17232933	 0.15529291	 0.19392258	 0.155234002	 0.133410570	 0.177128572	0.77586887	0.76444402	0.78363190	NA	NA	NA
17	0.9	pos	HI	 1.050795e-01	 9.576053e-02	 1.129679e-01	 0.100266301	 0.089047767	 0.106844038	 0.14899159	 0.13881580	 0.15839689	 0.142055828	 0.127823230	 0.153899553	0.54671124	0.53814236	0.55751432	NA	NA	NA
18	0.0	neg	CGF	 8.814323e-02	 7.995937e-02	 9.560634e-02	 0.088142617	 0.081594400	 0.094691972	 0.09422533	 0.08770449	 0.10230308	 0.095579991	 0.088947055	 0.101771402	0.08167749	0.07653209	0.08826492	8.185583e-02	7.672612e-02	8.842663e-02
18	0.0	neg	HI	 9.489859e-02	 9.088943e-02	 1.000622e-01	 0.095211291	 0.090853382	 0.099543475	 0.09455965	 0.09019519	 0.09878795	 0.094783705	 0.090583000	 0.100047345	0.09449804	0.09067495	0.09933927	9.470965e-02	8.985713e-02	9.969673e-02
18	0.0	pos	CGF	 9.216025e-02	 8.781749e-02	 9.664440e-02	 0.089788220	 0.085698972	 0.093696785	 0.09999890	 0.09561671	 0.10487449	 0.096684177	 0.092086840	 0.101485782	0.17367978	0.16831282	0.17864137	8.209127e-02	7.827376e-02	8.524208e-02
18	0.0	pos	HI	 9.652325e-02	 9.120033e-02	 1.020982e-01	 0.095733634	 0.090826645	 0.100341095	 0.09621783	 0.09134123	 0.10107546	 0.095665463	 0.091674718	 0.100050498	0.09617760	0.08989723	0.10123001	9.595474e-02	9.102887e-02	1.008655e-01
18	0.9	neg	CGF	 9.301163e-02	 8.313517e-02	 1.022182e-01	 0.094369659	 0.085755009	 0.104151250	 0.15026032	 0.13644056	 0.16547627	 0.154747030	 0.141855872	 0.168940394	0.05122800	0.05122800	0.05122800	NA	NA	NA
18	0.9	neg	HI	 9.907475e-02	 9.330138e-02	 1.047963e-01	 0.099225951	 0.093221367	 0.104513417	 0.13761077	 0.12722689	 0.14623973	 0.139011375	 0.129681720	 0.147593987	0.06239072	0.05947271	0.06515428	5.991589e-02	5.681603e-02	6.335989e-02
18	0.9	pos	CGF	 1.006816e-01	 8.647171e-02	 1.158641e-01	 0.088516581	 0.073600733	 0.104905415	 0.16313966	 0.13902748	 0.18846578	 0.147935052	 0.119576980	 0.182212737	0.74902502	0.73877849	0.75968226	NA	NA	NA
18	0.9	pos	HI	 1.013202e-01	 9.444008e-02	 1.075137e-01	 0.096053624	 0.088901710	 0.103023288	 0.14273932	 0.13470893	 0.15047707	 0.135842612	 0.126116088	 0.146142903	0.51827613	0.50842127	0.52709715	NA	NA	NA
19	0.0	neg	CGF	 9.498589e-02	 9.030143e-02	 1.003547e-01	 0.095374607	 0.090600317	 0.099783607	 0.10163410	 0.09641399	 0.10587201	 0.101850788	 0.096461522	 0.106814997	0.08944344	0.08510800	0.09380380	8.898232e-02	8.428149e-02	9.346687e-02
19	0.0	neg	HI	 8.952918e-02	 8.277492e-02	 9.545346e-02	 0.090861912	 0.083405505	 0.097295533	 0.08981425	 0.08421111	 0.09590034	 0.090213085	 0.084122493	 0.096580063	0.09081596	0.08371015	0.09778563	9.011894e-02	8.296156e-02	9.676735e-02
19	0.0	pos	CGF	 9.541858e-02	 9.300234e-02	 9.852454e-02	 0.092639227	 0.089927925	 0.095777793	 0.10217052	 0.09890847	 0.10546424	 0.099917229	 0.096825480	 0.103428207	0.16812549	0.16330741	0.17274508	8.571267e-02	8.323470e-02	8.839523e-02
19	0.0	pos	HI	 9.775197e-02	 9.369364e-02	 1.020694e-01	 0.097342535	 0.093475775	 0.101131210	 0.09725544	 0.09344195	 0.10083655	 0.097442580	 0.094021053	 0.100975518	0.09760847	0.09317908	0.10117793	9.741499e-02	9.300995e-02	1.011777e-01
19	0.9	neg	CGF	 9.466865e-02	 8.679780e-02	 1.051250e-01	 0.095603390	 0.086325991	 0.102713906	 0.15231616	 0.13995750	 0.16629019	 0.154904801	 0.143986956	 0.168298297	0.04738900	0.04738900	0.04738900	4.492600e-02	4.492600e-02	4.492600e-02
19	0.9	neg	HI	 9.160128e-02	 8.586379e-02	 9.848949e-02	 0.092450040	 0.085783388	 0.098084472	 0.12564079	 0.11943276	 0.13278100	 0.126794509	 0.119323877	 0.133926375	0.06000468	0.05621574	0.06366845	5.712424e-02	5.374296e-02	6.004786e-02
19	0.9	pos	CGF	 1.090969e-01	 9.835292e-02	 1.187176e-01	 0.100202741	 0.090332145	 0.112925332	 0.17730898	 0.16240310	 0.19456435	 0.161970930	 0.144214718	 0.179438078	0.74045392	0.72454970	0.75197594	NA	NA	NA
19	0.9	pos	HI	 9.895398e-02	 9.177171e-02	 1.065846e-01	 0.093805331	 0.084719313	 0.100650862	 0.13710703	 0.12568944	 0.14768112	 0.129897812	 0.118384410	 0.140377165	0.50125896	0.49202242	0.51175087	NA	NA	NA
20	0.0	neg	CGF	 9.028702e-02	 8.503121e-02	 9.598542e-02	 0.090766652	 0.085450465	 0.097070133	 0.09611915	 0.08983059	 0.10292953	 0.096804168	 0.089725195	 0.105116612	0.08575162	0.08058962	0.09101272	8.438004e-02	7.902694e-02	9.013397e-02
20	0.0	neg	HI	 9.159001e-02	 8.713215e-02	 9.746935e-02	 0.091969008	 0.085206935	 0.096712235	 0.09162942	 0.08716569	 0.09596519	 0.091665790	 0.087211573	 0.096560345	0.09220037	0.08623263	0.09764473	9.188863e-02	8.685339e-02	9.703622e-02
20	0.0	pos	CGF	 9.835461e-02	 9.306028e-02	 1.026975e-01	 0.095930778	 0.090882370	 0.102023720	 0.10512293	 0.10112833	 0.10956866	 0.102291020	 0.095788613	 0.109276480	0.16712920	0.16243554	0.17231012	8.843239e-02	8.396619e-02	9.348736e-02
20	0.0	pos	HI	 9.336501e-02	 8.905253e-02	 9.814260e-02	 0.092423270	 0.088375883	 0.098067850	 0.09298119	 0.08856782	 0.09755570	 0.092629773	 0.087625748	 0.096989455	0.09310811	0.08851337	0.09807659	9.256220e-02	8.823674e-02	9.803197e-02
20	0.9	neg	CGF	 9.956508e-02	 9.475791e-02	 1.043372e-01	 0.101649746	 0.096173241	 0.107006750	 0.15806691	 0.14801276	 0.16806304	 0.161384659	 0.151839656	 0.170591012	0.04595819	0.04372090	0.04730281	4.494300e-02	4.494300e-02	4.494300e-02
20	0.9	neg	HI	 9.471748e-02	 9.041672e-02	 1.000178e-01	 0.095774169	 0.090408955	 0.100971542	 0.12855585	 0.12234117	 0.13693282	 0.130229773	 0.121356480	 0.137483307	0.06267836	0.05939100	0.06636302	6.093096e-02	5.786789e-02	6.461359e-02
20	0.9	pos	CGF	 1.044825e-01	 9.911123e-02	 1.091316e-01	 0.096886403	 0.089343115	 0.103105147	 0.16744895	 0.15855385	 0.17577222	 0.153454306	 0.142514895	 0.163539387	0.72421520	0.71739079	0.73167838	NA	NA	NA
20	0.9	pos	HI	 9.259496e-02	 8.679242e-02	 9.818448e-02	 0.088538732	 0.082383300	 0.094027995	 0.12710370	 0.11813153	 0.13606983	 0.119995029	 0.111701408	 0.130740223	0.46650045	0.45419203	0.47540209	NA	NA	NA
