model	cov	P	t	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	theta	gen	var.prs.geno	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
HI	neg	0	0	0.914526524918207	0.0333276101917138	0.0333279434711484	-0.0647730126139975	0.916409065967072	0.1	10	0.915036182304263	0.00188304355428983	0.1	0.09	-0.0647723648838715	0.914526524918207	0.0333276101917137	0.0333276101917137	0.916409380417763	0.00188285549955597
HI	neg	0	1	0.914526543208998	0.0333273050585342	0.0167053510617518	-0.0324669272192216	0.932092272110063	0.1	10	0.93401536569869	0.0176345683471228	0.1	0.045	-0.0323861824419357	0.914526524918207	0.0333276101917137	0.0166638050958569	0.932131757763842	0.0176052328456348
HI	neg	0	2	0.914526566294463	0.0333269199378656	0.00837815557504423	-0.0162829841935541	0.939948657613819	0.1	10	0.932864607071125	0.0252302357143845	0.1	0.0225	-0.0161930912209679	0.914526524918207	0.0333276101917137	0.00833190254792843	0.939992946436882	0.0254664215186743
HI	neg	0	3	0.914526541344403	0.0333273361643798	0.00419605061425468	-0.00815504381785142	0.943894884305186	0.1	10	0.944265293671397	0.0292943547709305	0.1	0.01125	-0.00809654561048393	0.914526524918207	0.0333276101917137	0.00416595127396422	0.943923540773401	0.029397015855194
HI	neg	0	4	0.914526471111316	0.0333285078119485	0.00210867851760086	-0.00409822647285953	0.945865430968006	0.1	10	0.944716824147943	0.0311612674536434	0.1	0.005625	-0.00404827280524197	0.914526524918207	0.0333276101917137	0.00208297563698211	0.945888837941661	0.0313623130234539
HI	neg	0	5	0.914526158836012	0.0333337171337557	0.00106309674330469	-0.00206613344815547	0.946856839264917	0.1	10	0.943829854660874	0.0326416786733905	0.1	0.0028125	-0.00202413640262098	0.914526524918207	0.0333276101917137	0.00104148781849105	0.946871486525791	0.0323449616075838
HI	neg	0	6	0.914526345561905	0.0333306022327204	0.000539134516742383	-0.00104781043222264	0.947348271879145	0.1	10	0.942859091952576	0.0331125241801041	0.1	0.00140625	-0.00101206820131049	0.914526524918207	0.0333276101917137	0.000520743909245527	0.947362810817856	0.0328362858996488
HI	neg	0	7	0.91452630090041	0.0333313472688066	0.000278337626812041	-0.000540950467827508	0.947595035328201	0.1	10	0.940559470601508	0.0332106844012507	0.1	0.000703125	-0.000506034100655246	0.914526524918207	0.0333276101917137	0.000260371954622763	0.947608472963889	0.0330819480456812
HI	neg	0	8	0.91452631537322	0.0333311058361546	0.00014750919479722	-0.000286684803805918	0.947718245600366	0.1	10	0.944199900458377	0.0332923327787375	0.1	0.0003515625	-0.000253017050327623	0.914526524918207	0.0333276101917137	0.000130185977311382	0.947731304036905	0.0332047791186975
HI	neg	0	9	0.914526291133482	0.0333315101985392	8.22580893459307e-05	-0.000159868977916978	0.94778019044345	0.1	10	0.944982208475746	0.0333986933815163	0.1	0.00017578125	-0.000126508525163811	0.914526524918207	0.0333276101917137	6.50929886556909e-05	0.947792719573413	0.0332661946552056
HI	neg	0	10	0.914526160079075	0.0333336963976429	4.93657758757464e-05	-9.59426142290356e-05	0.947813279638365	0.1	10	0.943135381656838	0.0334139145073291	0.1	8.7890625e-05	-6.32542625819057e-05	0.914526524918207	0.0333276101917137	3.25464943278454e-05	0.947823427341667	0.0332969024234597
HI	neg	0.3	0	0.914526524918207	0.0333276101917138	0.0333279434711484	-0.0647730126139975	0.916409065967072	0.1	10	0.915036182304263	0.00188304355428983	0.1	0.09	-0.0647723648838715	0.914526524918207	0.0333276101917137	0.0333276101917137	0.916409380417763	0.00188285549955597
HI	neg	0.3	1	0.914526377082443	0.0333300764092036	0.021671500675752	-0.042118662012552	0.927409292154847	0.1	10	0.924390859604855	0.0131222993800522	0.1	0.0585	-0.0421020371745165	0.914526524918207	0.0333276101917137	0.021662946624614	0.927415044560019	0.0128885196418112
HI	neg	0.3	2	0.914526799812817	0.0333230242238146	0.0141020722623681	-0.0274074428062032	0.934544453492797	0.1	10	0.933139201187746	0.0199235006592204	0.1	0.038025	-0.0273663241634357	0.914526524918207	0.0333276101917137	0.0140809153059991	0.934568726252484	0.0200422013342771
HI	neg	0.3	3	0.914526592132425	0.0333264888974791	0.00917136944623272	-0.0178245990288219	0.939199851447315	0.1	10	0.94694442548711	0.024676905136931	0.1	0.02471625	-0.0177881107062332	0.914526524918207	0.0333276101917137	0.00915259494889939	0.939218619352587	0.0246920944343799
HI	neg	0.3	4	0.914526915328931	0.0333210970570846	0.00597763423093039	-0.0116175598346505	0.942208086782295	0.1	10	0.939850963836524	0.0280620239816724	0.1	0.0160655625	-0.0115622719590516	0.914526524918207	0.0333276101917137	0.0059491867167846	0.942241049867654	0.0277145249494467
HI	neg	0.3	5	0.914526527049173	0.0333275746422576	0.00389512594830228	-0.00757019533476179	0.944179032304971	0.1	10	0.938235554288926	0.0296921465429187	0.1	0.010442615625	-0.00751547677338353	0.914526524918207	0.0333276101917137	0.00386697136590999	0.944205629702447	0.0296791047842402
HI	neg	0.3	6	0.914526571977039	0.0333268251387399	0.00253363069057474	-0.00492412299072331	0.94546290481563	0.1	10	0.943954054066365	0.0310248833715433	0.1	0.00678770015625	-0.00488505990269929	0.914526524918207	0.0333276101917137	0.0025135313878415	0.945482606595063	0.0309560816768559
HI	neg	0.3	7	0.91452596198803	0.0333370007995346	0.00165360986380989	-0.00321379843493529	0.94630277421644	0.1	10	0.940587246940488	0.0318145432273368	0.1	0.0044120051015625	-0.00317528893675454	0.914526524918207	0.0333276101917137	0.00163379540209697	0.946312641575263	0.0317861166570562
