t	P	cov	vg_standard.mean	vg_standard.CI95l	vg_standard.CI95r	vg_standard_ganc.mean	vg_standard_ganc.CI95l	vg_standard_ganc.CI95r	vg_VarX.mean	vg_VarX.CI95l	vg_VarX.CI95r	vg_Varx_ganc.mean	vg_Varx_ganc.CI95l	vg_Varx_ganc.CI95r	vg_LD.mean	vg_LD.CI95l	vg_LD.CI95r	vg_LD_ganc.mean	vg_LD_ganc.CI95l	vg_LD_ganc.CI95r	model	manc	vanc	exp1	exp2	exp3	exp4	exp.total
 5	0.9	neg	0.06763398	0.06373510	0.07197300	1.0114930	0.9973820	1.0265503	0.08453602	0.08011888	0.08987428	1.0579728	1.0444570	1.0697720	0.9384827	0.9318835	0.9468030	0.9358893	0.9280283	0.9434493	HI	0.4999845	0.1937155630	0.9074236	0.09257669	7.173419e-02	-1.394157e-01	0.9323187
 5	0.9	pos	6.03127938	5.96461495	6.09557202	1.0046262	0.9917575	1.0159312	7.03129988	6.96494129	7.12082044	1.0524200	1.0383874	1.0636597	1.8272486	1.8174796	1.8369272	0.9231030	0.9124001	0.9322644	HI	0.5000107	0.1941487790	0.9074231	0.09257669	7.189461e-02	 7.484206e-01	1.8203150
 6	0.0	neg	1.00518924	0.99461775	1.01837206	1.0176909	1.0071460	1.0293126	1.00626281	0.99495308	1.01956082	1.0199807	1.0059038	1.0324524	1.0065091	1.0012905	1.0124013	1.0073685	1.0023239	1.0130718	HI	0.4999794	0.0039949242	0.9074237	0.09257669	1.479348e-03	-2.875119e-03	0.9986046
 6	0.0	pos	1.07006557	1.04825761	1.09743009	1.0000683	0.9831057	1.0221614	1.06888569	1.04360312	1.09363807	1.0004966	0.9817945	1.0248535	1.0167776	1.0062025	1.0289372	0.9935907	0.9835477	1.0052394	HI	0.5000543	0.0040448325	0.9074223	0.09257669	1.497829e-03	 1.559235e-02	1.0170892
 6	0.9	neg	0.06509030	0.06111391	0.06902826	0.9878690	0.9690740	1.0057268	0.08027128	0.07503548	0.08610113	1.0332650	1.0138379	1.0524880	0.9308004	0.9241299	0.9378308	0.9292860	0.9210538	0.9363396	HI	0.5000126	0.1841956997	0.9074231	0.09257669	6.820892e-02	-1.325643e-01	0.9356443
 6	0.9	pos	5.92379185	5.86687723	5.99104359	0.9865019	0.9703453	1.0032416	6.84735097	6.77503616	6.94386812	1.0305403	1.0157338	1.0472915	1.7686536	1.7528897	1.7861946	0.9209654	0.9139199	0.9281218	HI	0.5000060	0.1851197839	0.9074232	0.09257669	6.855111e-02	 7.136149e-01	1.7821659
 7	0.0	neg	0.98822845	0.96548894	1.00605392	0.9957080	0.9749948	1.0139848	0.98908016	0.96787727	1.00677446	0.9953719	0.9762465	1.0101686	0.9945616	0.9829139	1.0052994	0.9956274	0.9818497	1.0056872	HI	0.5000041	0.0020729984	0.9074232	0.09257669	7.676453e-04	-1.491922e-03	0.9992757
 7	0.0	pos	1.03433014	1.02053430	1.04530260	1.0043441	0.9920700	1.0147107	1.03417464	1.02261621	1.04408074	1.0046443	0.9932892	1.0141823	1.0103051	1.0031378	1.0154008	0.9962087	0.9901989	1.0019982	HI	0.4999744	0.0020921380	0.9074238	0.09257669	7.747329e-04	 8.064945e-03	1.0088401
 7	0.9	neg	0.07894689	0.07331674	0.08482820	1.0189411	0.9930274	1.0459808	0.09631159	0.08811710	0.10340553	1.0638130	1.0386729	1.0938503	0.9455895	0.9324754	0.9606236	0.9417172	0.9300821	0.9535492	HI	0.5000246	0.1746597732	0.9074229	0.09257669	6.467770e-02	-1.257014e-01	0.9389759
 7	0.9	pos	5.96036103	5.87730822	6.04599402	1.0071679	0.9832498	1.0349415	6.82717011	6.72883243	6.90885518	1.0515306	1.0296907	1.0812700	1.7469348	1.7303996	1.7672406	0.9346752	0.9221950	0.9501901	HI	0.5000482	0.1754718113	0.9074224	0.09257669	6.497840e-02	 6.764231e-01	1.7414006
 8	0.0	neg	0.99969387	0.98069243	1.01934432	0.9984888	0.9817877	1.0194963	0.99667125	0.98102058	1.01119557	1.0001291	0.9830799	1.0201405	0.9990544	0.9876792	1.0089752	0.9984883	0.9889692	1.0078605	HI	0.4999749	0.0011036256	0.9074238	0.09257669	4.086800e-04	-7.942715e-04	0.9996149
 8	0.0	pos	1.01009275	0.99601466	1.02442089	1.0004166	0.9860762	1.0177832	1.00948299	0.99574639	1.02341921	1.0003771	0.9851271	1.0177007	1.0060193	0.9972302	1.0150117	0.9993376	0.9906365	1.0071127	HI	0.4999595	0.0011000310	0.9074240	0.09257669	4.073489e-04	 4.240489e-03	1.0046486
 8	0.9	neg	0.07911313	0.07475707	0.08477557	0.9899287	0.9740013	1.0015844	0.09570120	0.09104319	0.10020691	1.0329397	1.0196372	1.0490722	0.9375708	0.9294218	0.9452922	0.9354772	0.9279445	0.9439380	HI	0.5000045	0.1660464630	0.9074232	0.09257669	6.148813e-02	-1.195025e-01	0.9419856
 8	0.9	pos	5.98584069	5.94427414	6.02696452	1.0072627	0.9954652	1.0243907	6.82166618	6.76486401	6.86941148	1.0477359	1.0331416	1.0614753	1.7128208	1.6996684	1.7254680	0.9344225	0.9251644	0.9424286	HI	0.4999633	0.1671126784	0.9074240	0.09257669	6.188296e-02	 6.441996e-01	1.7060832
 9	0.0	neg	0.99828428	0.97794843	1.02237957	0.9989956	0.9796195	1.0220699	0.99784443	0.97587112	1.02003770	0.9974078	0.9778282	1.0186498	0.9994919	0.9881103	1.0122376	1.0003204	0.9888492	1.0129503	HI	0.5000473	0.0006147099	0.9074225	0.09257669	2.276313e-04	-4.424024e-04	0.9997844
 9	0.0	pos	1.01385480	0.99535521	1.03638682	1.0067606	0.9894624	1.0263837	1.01313888	0.99412492	1.03219336	1.0086992	0.9907284	1.0271135	1.0077538	0.9973412	1.0177773	1.0024931	0.9937268	1.0123872	HI	0.4999579	0.0006143652	0.9074241	0.09257669	2.275036e-04	 2.368305e-03	1.0025966
 9	0.9	neg	0.08524920	0.08131206	0.08910753	0.9762391	0.9645798	0.9872078	0.10224510	0.09729961	0.10758446	1.0171960	1.0042482	1.0284446	0.9322842	0.9252656	0.9410267	0.9303874	0.9217933	0.9390277	HI	0.4999999	0.1579469400	0.9074233	0.09257669	5.848882e-02	-1.136733e-01	0.9448155
 9	0.9	pos	5.95636887	5.83038915	6.06709679	1.0085893	0.9896966	1.0302816	6.73060037	6.59107851	6.87061446	1.0519430	1.0296711	1.0751345	1.6858514	1.6661027	1.7054153	0.9434652	0.9317467	0.9558958	HI	0.4999997	0.1587117989	0.9074233	0.09257669	5.877206e-02	 6.118152e-01	1.6705873
