t	P	cov	vg_standard.mean	vg_standard.CI95l	vg_standard.CI95r	vg_standard_ganc.mean	vg_standard_ganc.CI95l	vg_standard_ganc.CI95r	vg_VarX.mean	vg_VarX.CI95l	vg_VarX.CI95r	vg_Varx_ganc.mean	vg_Varx_ganc.CI95l	vg_Varx_ganc.CI95r	vg_LD.mean	vg_LD.CI95l	vg_LD.CI95r	vg_LD_ganc.mean	vg_LD_ganc.CI95l	vg_LD_ganc.CI95r	model	manc	vanc	exp1	exp2	exp3	exp4	exp.total
12	0.0	pos	1.01278670	0.99525118	1.02788020	1.0105297	0.9924300	1.0254981	1.01252987	0.99373422	1.03009151	1.0111582	0.9921068	1.0302108	1.0089791	0.9971424	1.0175067	1.0066779	0.9950013	1.0162928	HI	0.5000782	0.0001865764	0.9074219	0.09257669	6.909049e-05	 7.192298e-04	1.0007869
12	0.9	neg	0.11202976	0.10546562	0.11892151	1.0029756	0.9814214	1.0201754	0.13067850	0.12300575	0.13929023	1.0384526	1.0171967	1.0596386	0.9549498	0.9407518	0.9652201	0.9527895	0.9391620	0.9619393	HI	0.4999905	0.1358127560	0.9074235	0.09257669	5.029238e-02	-9.774348e-02	0.9525491
12	0.9	pos	5.81645072	5.74124727	5.92376518	0.9835738	0.9689237	0.9995530	6.46776635	6.38195664	6.56005775	1.0192082	1.0017982	1.0334649	1.5691940	1.5556054	1.5850650	0.9348981	0.9257132	0.9424564	HI	0.4999875	0.1357803743	0.9074235	0.09257669	5.028039e-02	 5.234173e-01	1.5736979
13	0.0	neg	0.99532460	0.97540251	1.01449082	0.9965364	0.9759414	1.0123854	0.99618534	0.97714690	1.01813577	0.9950937	0.9781118	1.0134771	1.0009420	0.9907411	1.0107274	1.0000907	0.9902214	1.0094534	HI	0.5000005	0.0001555395	0.9074233	0.09257669	5.759732e-05	-1.119407e-04	0.9999456
13	0.0	pos	1.01781159	0.99823720	1.03790318	1.0161155	0.9974238	1.0355696	1.01824918	1.00069095	1.03239966	1.0156136	0.9984910	1.0355095	1.0123799	1.0031909	1.0197688	1.0110059	1.0027840	1.0195549	HI	0.4999932	0.0001555353	0.9074234	0.09257669	5.759578e-05	 5.995702e-04	1.0006573
13	0.9	neg	0.11690651	0.11164484	0.12207248	1.0124098	0.9953718	1.0309669	0.13618727	0.13068377	0.14222740	1.0493882	1.0324218	1.0666436	0.9604278	0.9501198	0.9695305	0.9582791	0.9484040	0.9692661	HI	0.4999982	0.1293630110	0.9074233	0.09257669	4.790400e-02	-9.310165e-02	0.9548024
13	0.9	pos	5.83165310	5.69527181	5.95971821	0.9868877	0.9697374	1.0067363	6.43594855	6.31252644	6.57943633	1.0217383	1.0022556	1.0394155	1.5465217	1.5329096	1.5656465	0.9402575	0.9300273	0.9520824	HI	0.5000021	0.1290388672	0.9074233	0.09257669	4.778397e-02	 4.974296e-01	1.5452135
14	0.0	neg	1.00760783	0.99647076	1.01649853	1.0069054	0.9968741	1.0157355	1.00721216	0.99620257	1.01542550	1.0061529	0.9939984	1.0153970	1.0042271	0.9988031	1.0091761	1.0044497	0.9982864	1.0092096	HI	0.5000515	0.0001405495	0.9074224	0.09257669	5.204643e-05	-1.011525e-04	0.9999500
14	0.0	pos	0.98913798	0.98009447	0.99814844	0.9879697	0.9796176	0.9983195	0.98850602	0.97951597	0.99835656	0.9877631	0.9804148	0.9967450	0.9950409	0.9890326	1.0009368	0.9941681	0.9870108	1.0003644	HI	0.4999783	0.0001403957	0.9074237	0.09257669	5.198946e-05	 5.412087e-04	1.0005936
14	0.9	neg	0.11808732	0.11020361	0.12830695	1.0224396	1.0002963	1.0495127	0.13684445	0.12913513	0.14908486	1.0580580	1.0359377	1.0765000	0.9676885	0.9537838	0.9786134	0.9666098	0.9520893	0.9782512	HI	0.4999896	0.1229245509	0.9074235	0.09257669	4.551979e-02	-8.846793e-02	0.9570520
14	0.9	pos	5.72403157	5.62673224	5.82945998	0.9995379	0.9883194	1.0091234	6.28543741	6.20061498	6.38759642	1.0330988	1.0188290	1.0484155	1.5198897	1.5077504	1.5313819	0.9478487	0.9392618	0.9552347	HI	0.5000005	0.1228307977	0.9074233	0.09257669	4.548508e-02	 4.734982e-01	1.5189833
15	0.0	neg	0.99480410	0.97667329	1.01236121	0.9944106	0.9780482	1.0104690	0.99646831	0.97695216	1.01613002	0.9952953	0.9789994	1.0158540	0.9950335	0.9852303	1.0029868	0.9952640	0.9843614	1.0044375	HI	0.5000680	0.0001329419	0.9074221	0.09257669	4.922929e-05	-9.567736e-05	0.9999523
15	0.0	pos	1.02654344	1.01476353	1.03550776	1.0260395	1.0134206	1.0350486	1.02665877	1.01632008	1.03693413	1.0256060	1.0137876	1.0352157	1.0163366	1.0097441	1.0226593	1.0147279	1.0083462	1.0205908	HI	0.5000234	0.0001327729	0.9074229	0.09257669	4.916669e-05	 5.118237e-04	1.0005606
15	0.9	neg	0.14176354	0.13560164	0.15155478	0.9979993	0.9853383	1.0122804	0.16207833	0.15560439	0.16979588	1.0319473	1.0184610	1.0456964	0.9608115	0.9543324	0.9695694	0.9578468	0.9510687	0.9660451	HI	0.4999971	0.1163595545	0.9074234	0.09257669	4.308873e-02	-8.374315e-02	0.9593456
15	0.9	pos	5.62468019	5.55259241	5.68350081	1.0086379	0.9936969	1.0239459	6.14267162	6.07736848	6.21630004	1.0414533	1.0263070	1.0548442	1.4984905	1.4911050	1.5042322	0.9571823	0.9482700	0.9637223	HI	0.4999955	0.1172029827	0.9074234	0.09257669	4.340106e-02	 4.518036e-01	1.4952048
16	0.0	neg	1.00434070	0.98933209	1.01875420	1.0045374	0.9892425	1.0192071	1.00397162	0.98854022	1.02115949	1.0038710	0.9882966	1.0237975	1.0031488	0.9931175	1.0128035	1.0038062	0.9926751	1.0168841	HI	0.4999868	0.0001288420	0.9074235	0.09257669	4.771105e-05	-9.272665e-05	0.9999552
16	0.0	pos	1.00737960	0.98241127	1.03121594	1.0069140	0.9841236	1.0291956	1.00751140	0.97710718	1.03286970	1.0052336	0.9771836	1.0313616	1.0037216	0.9916889	1.0169518	1.0029910	0.9896620	1.0147313	HI	0.4999651	0.0001289614	0.9074239	0.09257669	4.775527e-05	 4.971308e-04	1.0005455
16	0.9	neg	0.14632476	0.13967826	0.15560532	1.0048273	0.9902771	1.0160320	0.16667227	0.15957058	0.17684742	1.0383227	1.0235266	1.0533239	0.9636700	0.9575718	0.9708997	0.9614928	0.9523787	0.9696654	HI	0.4999922	0.1105450893	0.9074234	0.09257669	4.093560e-02	-7.955852e-02	0.9613772
16	0.9	pos	5.67808026	5.60370382	5.74982380	0.9924351	0.9731743	1.0185227	6.17472947	6.09378149	6.27107487	1.0245869	1.0076740	1.0441246	1.4772497	1.4632189	1.4902422	0.9525581	0.9412093	0.9630569	HI	0.4999691	0.1115315164	0.9074239	0.09257669	4.130088e-02	 4.299408e-01	1.4712422
17	0.0	neg	0.99708593	0.98635988	1.01185420	0.9946496	0.9846246	1.0063524	0.99500282	0.98245554	1.00958800	0.9959420	0.9847120	1.0068884	0.9961595	0.9893633	1.0035314	0.9962851	0.9894724	1.0039081	HI	0.4999147	0.0001268404	0.9074248	0.09257669	4.696985e-05	-9.128611e-05	0.9999572
