t	P	cov	model	h2_standard.mean	h2_standard.CI95l	h2_standard.CI95r	h2_standard_ganc.mean	h2_standard_ganc.CI95l	h2_standard_ganc.CI95r	h2_varX.mean	h2_varX.CI95l	h2_varX.CI95r	h2_varX_ganc.mean	h2_varX_ganc.CI95l	h2_varX_ganc.CI95r	h2_ld.mean	h2_ld.CI95l	h2_ld.CI95r	h2_ld_ganc.mean	h2_ld_ganc.CI95l	h2_ld_ganc.CI95r
11	0.9	pos	HI	0.7158095	0.7117147	0.7194932	0.7163089	0.7129024	0.7196572	0.7260805	0.7217209	0.7290394	0.7263798	0.7231587	0.7293072	0.8002741	0.7982873	0.8024482	0.7046327	0.7013668	0.7070930
12	0.0	neg	CGF	0.8019567	0.7997142	0.8039231	0.8018939	0.8000842	0.8037942	0.8035209	0.8011986	0.8054784	0.8035899	0.8016754	0.8055087	0.8015595	0.8001704	0.8028546	0.8014461	0.8000448	0.8027788
12	0.0	neg	HI	0.7996342	0.7973464	0.8020238	0.7999645	0.7976499	0.8023135	0.7997334	0.7973903	0.8019919	0.7996002	0.7972197	0.8019020	0.7991760	0.7975734	0.8008519	0.7991220	0.7973489	0.8007018
12	0.0	pos	CGF	0.7778318	0.7751999	0.7805890	0.7776156	0.7754191	0.7799655	0.7797214	0.7771289	0.7827052	0.7796576	0.7775495	0.7816316	0.7972219	0.7953215	0.7994496	0.7818878	0.7800780	0.7835674
12	0.0	pos	HI	0.7999780	0.7981895	0.8014599	0.7999399	0.7981365	0.8017088	0.7998907	0.7980351	0.8014540	0.8002370	0.7985943	0.8016013	0.8005054	0.7993108	0.8020189	0.8004953	0.7988951	0.8022242
12	0.9	neg	CGF	0.8121162	0.8104067	0.8143601	0.8122548	0.8108092	0.8141867	0.8213797	0.8195772	0.8230008	0.8215208	0.8197909	0.8229627	0.8011281	0.7998895	0.8024117	0.8007310	0.7993785	0.8020233
12	0.9	neg	HI	0.8088322	0.8075832	0.8100653	0.8088559	0.8077275	0.8101729	0.8163945	0.8153258	0.8179302	0.8163446	0.8152150	0.8177580	0.8011776	0.7998649	0.8022635	0.8006348	0.7994424	0.8018893
12	0.9	pos	CGF	0.6960288	0.6934857	0.6990760	0.6959250	0.6927604	0.6989452	0.7086331	0.7059942	0.7113545	0.7084935	0.7059346	0.7108872	0.7989017	0.7972111	0.8007216	0.6822995	0.6803429	0.6852576
12	0.9	pos	HI	0.7201238	0.7184539	0.7216385	0.7199384	0.7182669	0.7215409	0.7297988	0.7281656	0.7315072	0.7297003	0.7281947	0.7311712	0.8018248	0.8007461	0.8032323	0.7087783	0.7074437	0.7102303
13	0.0	neg	CGF	0.8023000	0.8000656	0.8050367	0.8020970	0.7987136	0.8049554	0.8037575	0.8008169	0.8066858	0.8040362	0.8014358	0.8066981	0.8013426	0.7993193	0.8033998	0.8012694	0.7991343	0.8035051
13	0.0	neg	HI	0.8024617	0.8013598	0.8039381	0.8025676	0.8013430	0.8040909	0.8026345	0.8012013	0.8043241	0.8025948	0.8013711	0.8040153	0.8016333	0.8000057	0.8031017	0.8016368	0.8000157	0.8037357
13	0.0	pos	CGF	0.7833129	0.7812938	0.7851695	0.7830223	0.7813651	0.7847951	0.7848697	0.7832057	0.7870714	0.7846409	0.7830520	0.7865533	0.8010147	0.7993651	0.8029604	0.7873487	0.7858586	0.7887994
13	0.0	pos	HI	0.7995915	0.7972164	0.8022351	0.7994378	0.7968117	0.8021139	0.7995027	0.7966389	0.8023184	0.7990911	0.7960951	0.8019081	0.8002639	0.7983033	0.8023332	0.8002257	0.7980546	0.8018414
13	0.9	neg	CGF	0.8081332	0.8062298	0.8097657	0.8081512	0.8065388	0.8098868	0.8173866	0.8159903	0.8189188	0.8172676	0.8159559	0.8190492	0.7991838	0.7981166	0.8002571	0.7986437	0.7973877	0.7997908
13	0.9	neg	HI	0.8060726	0.8039238	0.8089168	0.8061041	0.8041339	0.8083199	0.8132159	0.8107217	0.8159024	0.8129845	0.8105855	0.8152573	0.8000000	0.7978628	0.8026001	0.7996087	0.7979842	0.8018502
13	0.9	pos	CGF	0.7026726	0.6983926	0.7055572	0.7023772	0.6978132	0.7065124	0.7151622	0.7114086	0.7201263	0.7147183	0.7110351	0.7178677	0.8015949	0.7998944	0.8032910	0.6888929	0.6851986	0.6920977
13	0.9	pos	HI	0.7196642	0.7174309	0.7231560	0.7192164	0.7168593	0.7216867	0.7284780	0.7256613	0.7317090	0.7285331	0.7257108	0.7315470	0.7992686	0.7979577	0.8002405	0.7091475	0.7064057	0.7115884
14	0.0	neg	CGF	0.8001225	0.7972147	0.8024883	0.8002433	0.7974963	0.8029745	0.8015120	0.7986381	0.8044007	0.8017645	0.7987230	0.8046707	0.7994392	0.7975985	0.8016327	0.7995189	0.7973484	0.8011525
14	0.0	neg	HI	0.7998441	0.7978900	0.8018245	0.7997915	0.7980905	0.8016414	0.7997829	0.7975930	0.8017429	0.7998906	0.7978469	0.8014898	0.8001764	0.7983424	0.8014699	0.7999497	0.7983432	0.8013165
14	0.0	pos	CGF	0.7824200	0.7805028	0.7842675	0.7822947	0.7802555	0.7841137	0.7839078	0.7819985	0.7862787	0.7837316	0.7817183	0.7855813	0.7986391	0.7969815	0.8004657	0.7858412	0.7837988	0.7879396
14	0.0	pos	HI	0.8018807	0.7996408	0.8041792	0.8016029	0.7992247	0.8040793	0.8021792	0.8000650	0.8044481	0.8020125	0.8000722	0.8043064	0.8011015	0.7992305	0.8038041	0.8008818	0.7991054	0.8026165
14	0.9	neg	CGF	0.8091399	0.8076530	0.8108418	0.8091690	0.8074102	0.8107913	0.8183245	0.8166064	0.8198727	0.8181080	0.8159872	0.8198102	0.8001688	0.7989622	0.8012960	0.7995012	0.7982362	0.8006412
14	0.9	neg	HI	0.8071073	0.8051234	0.8090029	0.8072614	0.8052510	0.8098886	0.8140326	0.8119720	0.8163567	0.8139307	0.8119030	0.8160798	0.8014643	0.8004073	0.8023853	0.8012566	0.8003189	0.8021634
14	0.9	pos	CGF	0.7001460	0.6972380	0.7033140	0.6998863	0.6975213	0.7024961	0.7124353	0.7099149	0.7151392	0.7122005	0.7099641	0.7145994	0.7996314	0.7981588	0.8012259	0.6867214	0.6835810	0.6898881
14	0.9	pos	HI	0.7221181	0.7196384	0.7240818	0.7218976	0.7191425	0.7242793	0.7308131	0.7285711	0.7329303	0.7306619	0.7284108	0.7325173	0.7982513	0.7966890	0.8001271	0.7134565	0.7109829	0.7162219
15	0.0	neg	CGF	0.8019685	0.8007645	0.8034787	0.8020239	0.8008486	0.8031997	0.8034049	0.8020995	0.8047212	0.8034532	0.8021886	0.8049751	0.8013494	0.7994481	0.8029486	0.8012464	0.7995300	0.8024944
15	0.0	neg	HI	0.7986436	0.7967366	0.8004080	0.7987712	0.7971060	0.8003331	0.7987661	0.7968474	0.8002561	0.7988237	0.7966521	0.8005033	0.7981766	0.7962578	0.7999718	0.7984193	0.7966290	0.8000012
15	0.0	pos	CGF	0.7852342	0.7836656	0.7868590	0.7851955	0.7838196	0.7863535	0.7866039	0.7851855	0.7879876	0.7865955	0.7846232	0.7879782	0.7998341	0.7981469	0.8014884	0.7891442	0.7875560	0.7909402
15	0.0	pos	HI	0.7982386	0.7970480	0.7995755	0.7982199	0.7972258	0.7993215	0.7982504	0.7971927	0.7993694	0.7983067	0.7972624	0.7995218	0.8002126	0.7988152	0.8019730	0.8001213	0.7988882	0.8013668
15	0.9	neg	CGF	0.8110157	0.8097617	0.8123239	0.8110465	0.8097951	0.8125788	0.8199532	0.8185999	0.8213905	0.8198850	0.8185906	0.8212439	0.8009990	0.7997128	0.8021878	0.8008519	0.7995816	0.8019753
15	0.9	neg	HI	0.8063886	0.8040260	0.8087489	0.8064861	0.8044290	0.8086055	0.8129737	0.8110588	0.8148760	0.8128948	0.8107493	0.8150700	0.8000414	0.7986929	0.8017533	0.7996361	0.7981506	0.8010157
15	0.9	pos	CGF	0.7003770	0.6972518	0.7035358	0.7005790	0.6981687	0.7037109	0.7127437	0.7096780	0.7162100	0.7123875	0.7093612	0.7161553	0.8001703	0.7987254	0.8018241	0.6876267	0.6839975	0.6919329
15	0.9	pos	HI	0.7289638	0.7266320	0.7315613	0.7289862	0.7263253	0.7320897	0.7374365	0.7345179	0.7402804	0.7371508	0.7334327	0.7398054	0.8004306	0.7991909	0.8020152	0.7218383	0.7195687	0.7244422
16	0.0	neg	CGF	0.8028166	0.8005122	0.8047085	0.8025697	0.8007838	0.8048539	0.8040002	0.8015282	0.8055551	0.8040895	0.8026333	0.8058680	0.8003911	0.7991604	0.8016153	0.8003359	0.7989052	0.8018630
16	0.0	neg	HI	0.7994565	0.7980969	0.8006662	0.7994070	0.7981489	0.8005788	0.7993615	0.7981685	0.8005276	0.7994230	0.7982232	0.8007302	0.7995176	0.7983846	0.8007879	0.7995725	0.7980883	0.8011412
16	0.0	pos	CGF	0.7877953	0.7846764	0.7907530	0.7875416	0.7844732	0.7905018	0.7892010	0.7862718	0.7920297	0.7889111	0.7858981	0.7914685	0.8012356	0.7995856	0.8031409	0.7910825	0.7888852	0.7931508
16	0.0	pos	HI	0.7990077	0.7975586	0.8004791	0.7990267	0.7973791	0.8008646	0.7990711	0.7971807	0.8006980	0.7989972	0.7972785	0.8008925	0.7994580	0.7981392	0.8005875	0.7995834	0.7984034	0.8008634
16	0.9	neg	CGF	0.8106358	0.8091384	0.8123440	0.8106016	0.8083023	0.8127164	0.8195275	0.8174761	0.8216374	0.8194295	0.8177252	0.8210305	0.8006602	0.7986452	0.8028153	0.8002388	0.7975777	0.8024098
16	0.9	neg	HI	0.8047034	0.8037015	0.8058797	0.8046613	0.8036168	0.8056904	0.8109848	0.8097901	0.8122650	0.8108142	0.8097063	0.8119117	0.7986704	0.7970598	0.8010068	0.7983168	0.7967666	0.8002719
16	0.9	pos	CGF	0.7025899	0.7007367	0.7041620	0.7027563	0.7004815	0.7047499	0.7145747	0.7128372	0.7164230	0.7142689	0.7123867	0.7160291	0.7997100	0.7983771	0.8013379	0.6888586	0.6865300	0.6910549
16	0.9	pos	HI	0.7314785	0.7290657	0.7335816	0.7313182	0.7286673	0.7340512	0.7394352	0.7370991	0.7415536	0.7392155	0.7365409	0.7415017	0.8010069	0.7992704	0.8030864	0.7239666	0.7214507	0.7265880
17	0.0	neg	CGF	0.7999124	0.7982118	0.8019560	0.7998737	0.7980334	0.8017945	0.8011478	0.7995962	0.8032420	0.8009279	0.7991706	0.8029370	0.7988729	0.7967170	0.8018263	0.7987465	0.7966886	0.8010549
17	0.0	neg	HI	0.7999104	0.7977277	0.8017828	0.8001107	0.7979588	0.8022426	0.8000419	0.7980234	0.8022848	0.7999606	0.7979922	0.8022562	0.7999036	0.7982877	0.8016788	0.7997937	0.7979088	0.8016169
17	0.0	pos	CGF	0.7858020	0.7831731	0.7884109	0.7858822	0.7831721	0.7887058	0.7871536	0.7848213	0.7896978	0.7870424	0.7843477	0.7898461	0.8005018	0.7990441	0.8018329	0.7911907	0.7896644	0.7928612
17	0.0	pos	HI	0.7988866	0.7973727	0.7999488	0.7987654	0.7977819	0.7996497	0.7988685	0.7976298	0.8001032	0.7988991	0.7978307	0.7999452	0.7997249	0.7980224	0.8010259	0.7997661	0.7981072	0.8014096
17	0.9	neg	CGF	0.8104820	0.8087578	0.8126884	0.8101742	0.8085223	0.8120202	0.8187958	0.8171099	0.8206145	0.8189999	0.8175759	0.8207506	0.8005705	0.7991503	0.8020307	0.8000485	0.7986156	0.8014213
17	0.9	neg	HI	0.8041872	0.8015574	0.8067643	0.8042992	0.8020983	0.8064148	0.8103677	0.8079783	0.8128337	0.8102534	0.8078932	0.8126085	0.7986508	0.7968665	0.8007263	0.7983993	0.7960299	0.8010014
17	0.9	pos	CGF	0.7020037	0.6989436	0.7047691	0.7018762	0.6991464	0.7044590	0.7135386	0.7105180	0.7160576	0.7136416	0.7103528	0.7167917	0.7993936	0.7981710	0.8007211	0.6900381	0.6874512	0.6927316
17	0.9	pos	HI	0.7336799	0.7315284	0.7356260	0.7334321	0.7318597	0.7353122	0.7409005	0.7387098	0.7428093	0.7408001	0.7391985	0.7425582	0.7994917	0.7983389	0.8005226	0.7274507	0.7256903	0.7288908
18	0.0	neg	CGF	0.8017483	0.8000749	0.8040354	0.8015254	0.7999354	0.8031946	0.8028221	0.8009930	0.8050638	0.8029679	0.8012776	0.8049838	0.7999785	0.7985655	0.8015368	0.7998606	0.7982986	0.8016107
18	0.0	neg	HI	0.8019965	0.8007058	0.8035596	0.8018582	0.8005443	0.8032202	0.8019939	0.8003713	0.8035201	0.8020259	0.8004912	0.8033876	0.8015522	0.7999040	0.8027071	0.8016256	0.8002671	0.8029756
18	0.0	pos	CGF	0.7855413	0.7841352	0.7867654	0.7854175	0.7841461	0.7866368	0.7866862	0.7853237	0.7880834	0.7865329	0.7849286	0.7879030	0.7992829	0.7977034	0.8010558	0.7908086	0.7891295	0.7920063
18	0.0	pos	HI	0.8001824	0.7988033	0.8016649	0.8002422	0.7987793	0.8021529	0.8002304	0.7988706	0.8019492	0.8002077	0.7985804	0.8016059	0.8010448	0.7996918	0.8021733	0.8010160	0.7998129	0.8020508
18	0.9	neg	CGF	0.8062636	0.8044982	0.8074909	0.8062731	0.8048577	0.8074278	0.8149626	0.8134157	0.8161237	0.8147451	0.8131659	0.8164537	0.7973347	0.7961225	0.7992046	0.7969411	0.7954755	0.7986250
18	0.9	neg	HI	0.8043963	0.8027877	0.8061017	0.8044181	0.8023922	0.8063912	0.8099299	0.8082371	0.8118070	0.8098009	0.8080460	0.8117497	0.7994758	0.7982588	0.8005480	0.7993281	0.7983232	0.8003910
18	0.9	pos	CGF	0.7062829	0.7040929	0.7087252	0.7062220	0.7035282	0.7088916	0.7178416	0.7151961	0.7202037	0.7177669	0.7152996	0.7206163	0.7992733	0.7980196	0.8003022	0.6934794	0.6914012	0.6952840
18	0.9	pos	HI	0.7386184	0.7352282	0.7415049	0.7386765	0.7358394	0.7414358	0.7456228	0.7426351	0.7482733	0.7458881	0.7429469	0.7492493	0.8005232	0.7979152	0.8023201	0.7327950	0.7305829	0.7350335
19	0.0	neg	CGF	0.8019701	0.8002255	0.8034937	0.8021919	0.8008883	0.8034413	0.8031314	0.8009527	0.8045623	0.8031427	0.8017004	0.8043388	0.8001732	0.7984746	0.8014800	0.7999705	0.7978468	0.8018597
19	0.0	neg	HI	0.8013843	0.7989128	0.8038365	0.8012968	0.7990043	0.8036591	0.8013436	0.7988440	0.8039996	0.8013705	0.7987233	0.8035500	0.7997643	0.7976375	0.8017730	0.8000032	0.7981586	0.8020274
19	0.0	pos	CGF	0.7872075	0.7852197	0.7901058	0.7872268	0.7849514	0.7896089	0.7884866	0.7864110	0.7914774	0.7884452	0.7863063	0.7909983	0.7997172	0.7978560	0.8016288	0.7932479	0.7908131	0.7955623
19	0.0	pos	HI	0.7982173	0.7966333	0.8003680	0.7983454	0.7967701	0.8002582	0.7983680	0.7967086	0.8005014	0.7984507	0.7964894	0.8005757	0.7993218	0.7978031	0.8005789	0.7991877	0.7978932	0.8005716
19	0.9	neg	CGF	0.8089258	0.8074081	0.8103924	0.8089814	0.8075181	0.8104976	0.8172349	0.8159209	0.8186082	0.8172846	0.8160784	0.8186496	0.8001594	0.7990541	0.8016283	0.7997508	0.7986704	0.8007955
19	0.9	neg	HI	0.8061805	0.8041156	0.8086940	0.8067028	0.8042830	0.8089954	0.8117722	0.8092932	0.8141005	0.8116297	0.8099846	0.8141199	0.8004835	0.7991491	0.8019878	0.8002617	0.7989421	0.8015141
19	0.9	pos	CGF	0.7091179	0.7067113	0.7119677	0.7091141	0.7063410	0.7119066	0.7202979	0.7177592	0.7235338	0.7199708	0.7172282	0.7224180	0.7999771	0.7984321	0.8011954	0.6960876	0.6936186	0.6992828
19	0.9	pos	HI	0.7402028	0.7389164	0.7418127	0.7401978	0.7389241	0.7415705	0.7467741	0.7457727	0.7481783	0.7466942	0.7457137	0.7478318	0.8008896	0.7993752	0.8030804	0.7359778	0.7330916	0.7384659
20	0.0	neg	CGF	0.8021751	0.8002537	0.8039436	0.8023201	0.8005713	0.8041721	0.8031338	0.8010135	0.8051382	0.8030940	0.8012041	0.8050323	0.8006586	0.7991661	0.8022043	0.8006295	0.7992053	0.8021531
20	0.0	neg	HI	0.8001356	0.7978714	0.8024679	0.8002048	0.7978633	0.8024550	0.8003720	0.7980036	0.8035152	0.8000749	0.7975562	0.8029261	0.8003441	0.7983008	0.8026923	0.8003844	0.7984324	0.8023433
20	0.0	pos	CGF	0.7886223	0.7854503	0.7925584	0.7888705	0.7859857	0.7921290	0.7896433	0.7867952	0.7926711	0.7895167	0.7866764	0.7929016	0.7999874	0.7978857	0.8024231	0.7934522	0.7912061	0.7960389
20	0.0	pos	HI	0.8005283	0.7993868	0.8016477	0.8003994	0.7993130	0.8016077	0.8005363	0.7993741	0.8016486	0.8003802	0.7992803	0.8016023	0.8006261	0.7995422	0.8017553	0.8006157	0.7994842	0.8017734
20	0.9	neg	CGF	0.8085437	0.8054050	0.8119812	0.8086885	0.8053094	0.8127803	0.8163979	0.8133459	0.8197676	0.8165168	0.8136726	0.8197949	0.7988878	0.7963515	0.8014581	0.7983590	0.7959540	0.8013075
20	0.9	neg	HI	0.8059107	0.8043938	0.8073183	0.8060974	0.8041950	0.8077307	0.8113295	0.8096560	0.8129216	0.8110765	0.8094416	0.8125967	0.8016594	0.8004047	0.8025265	0.8013490	0.8001749	0.8022585
20	0.9	pos	CGF	0.7099162	0.7066442	0.7125482	0.7101425	0.7068124	0.7133336	0.7206641	0.7175468	0.7236175	0.7205896	0.7177623	0.7231995	0.7997312	0.7976878	0.8015799	0.6985582	0.6965269	0.7010932
20	0.9	pos	HI	0.7435900	0.7408872	0.7456986	0.7435101	0.7412490	0.7457916	0.7498354	0.7473156	0.7525536	0.7497447	0.7475913	0.7521385	0.7997001	0.7985038	0.8012413	0.7389593	0.7367672	0.7410011
